cd8_epitope	hydro_score
FALSE	-1.136
TRUE	-2.116
FALSE	0.244
FALSE	-1.852
FALSE	-1.608
FALSE	-0.724
FALSE	-0.54
FALSE	-1.048
FALSE	-1.028
FALSE	-0.62
FALSE	-0.324
FALSE	-0.836
FALSE	0.048
FALSE	-0.24
FALSE	-0.888
FALSE	-0.564
FALSE	-0.432
FALSE	-1.068
FALSE	0.076
FALSE	-0.34
FALSE	-1.724
FALSE	-1.248
FALSE	-0.832
FALSE	-0.368
FALSE	-0.908
FALSE	-1.172
FALSE	-0.404166667
FALSE	0.820833333
FALSE	0.741666667
FALSE	-0.466666667
FALSE	0.820833333
TRUE	0.820833333
FALSE	-0.504166667
FALSE	-1.12173913
FALSE	0.639130435
FALSE	0.926086957
FALSE	-1.204347826
FALSE	-1.152173913
FALSE	-0.917391304
FALSE	-1.054545455
FALSE	-0.268181818
FALSE	-0.390909091
FALSE	-0.922727273
FALSE	-1.468181818
FALSE	-1.495454545
FALSE	-1
FALSE	-1.045454545
FALSE	-0.113636364
FALSE	-0.104545455
FALSE	-1.076190476
FALSE	1.419047619
FALSE	-0.828571429
FALSE	-0.495238095
FALSE	-1.466666667
FALSE	0.49047619
FALSE	-0.814285714
FALSE	0.623809524
FALSE	-0.865
FALSE	-0.065
FALSE	0.415
FALSE	-1.455
FALSE	-0.195
FALSE	-0.457894737
FALSE	-0.889473684
FALSE	-0.615789474
FALSE	-0.768421053
FALSE	0.915789474
FALSE	0.252631579
FALSE	-0.942105263
FALSE	-0.152631579
FALSE	0.377777778
FALSE	-0.7
FALSE	-0.661111111
FALSE	-0.572222222
FALSE	-0.333333333
FALSE	-1.105555556
FALSE	0.222222222
FALSE	-1.205555556
FALSE	-0.65
TRUE	-0.738888889
FALSE	-1.083333333
FALSE	0.311111111
FALSE	-1.341176471
FALSE	0.158823529
FALSE	-0.517647059
FALSE	-0.7
FALSE	-0.95
FALSE	-0.2125
FALSE	-0.35
FALSE	-0.0875
FALSE	-1.14375
FALSE	-0.32
FALSE	0.733333333
FALSE	-1.06
FALSE	-0.793333333
FALSE	1.266666667
FALSE	-1.926666667
FALSE	-1.666666667
FALSE	-1.586666667
FALSE	-1.093333333
FALSE	-0.171428571
FALSE	0.192857143
FALSE	-3.278571429
FALSE	-1
FALSE	-1.892307692
